gender,id,injection-coordinates,injection-structures,product-id,strain,structure-abbrev,structure-color,structure-id,structure-name,transgenic-line
M,180435652,"[7820, 4250, 9870]","[{u'abbreviation': u'TEa', u'color': u'15B0B3', u'id': 541, u'name': u'Temporal association areas'}, {u'abbreviation': u'ECT', u'color': u'0D9F91', u'id': 895, u'name': u'Ectorhinal area'}, {u'abbreviation': u'PERI', u'color': u'0E9684', u'id': 922, u'name': u'Perirhinal area'}, {u'abbreviation': u'AUDv', u'color': u'019399', u'id': 1018, u'name': u'Ventral auditory area'}]",5,C57BL/6J,ECT,0D9F91,895,Ectorhinal area,
M,180436360,"[4800, 4720, 8980]","[{u'abbreviation': u'AId', u'color': u'219866', u'id': 104, u'name': u'Agranular insular area, dorsal part'}, {u'abbreviation': u'AIp', u'color': u'219866', u'id': 111, u'name': u'Agranular insular area, posterior part'}, {u'abbreviation': u'SSp-m', u'color': u'188064', u'id': 345, u'name': u'Primary somatosensory area, mouth'}, {u'abbreviation': u'SSp-n', u'color': u'188064', u'id': 353, u'name': u'Primary somatosensory area, nose'}, {u'abbreviation': u'SSs', u'color': u'188064', u'id': 378, u'name': u'Supplemental somatosensory area'}, {u'abbreviation': u'CLA', u'color': u'8ADA87', u'id': 583, u'name': u'Claustrum'}, {u'abbreviation': u'VISC', u'color': u'11AD83', u'id': 677, u'name': u'Visceral area'}, {u'abbreviation': u'GU', u'color': u'009C75', u'id': 1057, u'name': u'Gustatory areas'}]",5,C57BL/6J,VISC,11AD83,677,Visceral area,
F,167902586,"[2570, 3680, 5890]","[{u'abbreviation': u'ORBm', u'color': u'248A5E', u'id': 731, u'name': u'Orbital area, medial part'}, {u'abbreviation': u'ORBvl', u'color': u'248A5E', u'id': 746, u'name': u'Orbital area, ventrolateral part'}, {u'abbreviation': u'PL', u'color': u'2FA850', u'id': 972, u'name': u'Prelimbic area'}]",5,,ORBvl,248A5E,746,"Orbital area, ventrolateral part",Rbp4-Cre_KL100
M,166055636,"[3080, 1970, 6130]","[{u'abbreviation': u'ACAd', u'color': u'40A666', u'id': 39, u'name': u'Anterior cingulate area, dorsal part'}, {u'abbreviation': u'MOs', u'color': u'1F9D5A', u'id': 993, u'name': u'Secondary motor area'}]",5,,MOs,1F9D5A,993,Secondary motor area,Rbp4-Cre_KL100
M,180719293,"[3140, 3330, 7390]","[{u'abbreviation': u'AId', u'color': u'219866', u'id': 104, u'name': u'Agranular insular area, dorsal part'}, {u'abbreviation': u'MOp', u'color': u'1F9D5A', u'id': 985, u'name': u'Primary motor area'}, {u'abbreviation': u'MOs', u'color': u'1F9D5A', u'id': 993, u'name': u'Secondary motor area'}]",5,C57BL/6J,MOs,1F9D5A,993,Secondary motor area,
M,180709942,"[3360, 3120, 7520]","[{u'abbreviation': u'MOp', u'color': u'1F9D5A', u'id': 985, u'name': u'Primary motor area'}, {u'abbreviation': u'MOs', u'color': u'1F9D5A', u'id': 993, u'name': u'Secondary motor area'}]",5,C57BL/6J,MOs,1F9D5A,993,Secondary motor area,
M,180917660,"[5570, 4540, 9540]","[{u'abbreviation': u'AIp', u'color': u'219866', u'id': 111, u'name': u'Agranular insular area, posterior part'}, {u'abbreviation': u'SSs', u'color': u'188064', u'id': 378, u'name': u'Supplemental somatosensory area'}, {u'abbreviation': u'VISC', u'color': u'11AD83', u'id': 677, u'name': u'Visceral area'}, {u'abbreviation': u'GU', u'color': u'009C75', u'id': 1057, u'name': u'Gustatory areas'}]",5,C57BL/6J,VISC,11AD83,677,Visceral area,
M,174957972,"[6120, 5150, 4540]","[{u'abbreviation': u'PT', u'color': u'FF909F', u'id': 15, u'name': u'Parataenial nucleus'}, {u'abbreviation': u'PVH', u'color': u'FF5D50', u'id': 38, u'name': u'Paraventricular hypothalamic nucleus'}, {u'abbreviation': u'PVHd', u'color': u'FF4C3E', u'id': 63, u'name': u'Paraventricular hypothalamic nucleus, descending division'}, {u'abbreviation': u'AM', u'color': u'FF909F', u'id': 127, u'name': u'Anteromedial nucleus'}, {u'abbreviation': u'PVT', u'color': u'FF909F', u'id': 149, u'name': u'Paraventricular nucleus of the thalamus'}, {u'abbreviation': u'RE', u'color': u'FF909F', u'id': 181, u'name': u'Nucleus of reuniens'}, {u'abbreviation': u'RH', u'color': u'FF909F', u'id': 189, u'name': u'Rhomboid nucleus'}, {u'abbreviation': u'LHA', u'color': u'F2483B', u'id': 194, u'name': u'Lateral hypothalamic area'}, {u'abbreviation': u'RT', u'color': u'FF909F', u'id': 262, u'name': u'Reticular nucleus of the thalamus'}, {u'abbreviation': u'SMT', u'color': u'FF909F', u'id': 366, u'name': u'Submedial nucleus of the thalamus'}, {u'abbreviation': u'CM', u'color': u'FF909F', u'id': 599, u'name': u'Central medial nucleus of the thalamus'}, {u'abbreviation': u'IAM', u'color': u'FF909F', u'id': 1120, u'name': u'Interanteromedial nucleus of the thalamus'}]",5,C57BL/6J,RE,FF909F,181,Nucleus of reuniens,
F,480074702,"[9680, 3730, 5420]","[{u'abbreviation': u'IV', u'color': u'FF90FF', u'id': 115, u'name': u'Trochlear nucleus'}, {u'abbreviation': u'PAG', u'color': u'FF90FF', u'id': 795, u'name': u'Periaqueductal gray'}, {u'abbreviation': u'DR', u'color': u'FFA6FF', u'id': 872, u'name': u'Dorsal nucleus raphe'}]",35,C57BL/6J,DR,FFA6FF,872,Dorsal nucleus raphe,Slc6a4-Cre_ET33
M,158257355,"[4440, 6130, 5460]","[{u'abbreviation': u'ACAv', u'color': u'40A666', u'id': 48, u'name': u'Anterior cingulate area, ventral part'}, {u'abbreviation': u'ACB', u'color': u'80CDF8', u'id': 56, u'name': u'Nucleus accumbens'}, {u'abbreviation': u'ADP', u'color': u'FF5547', u'id': 72, u'name': u'Anterodorsal preoptic nucleus'}, {u'abbreviation': u'LPO', u'color': u'F2483B', u'id': 226, u'name': u'Lateral preoptic area'}, {u'abbreviation': u'LSr', u'color': u'90CBED', u'id': 258, u'name': u'Lateral septal nucleus, rostral (rostroventral) part'}, {u'abbreviation': u'SI', u'color': u'A2B1D8', u'id': 342, u'name': u'Substantia innominata'}, {u'abbreviation': u'BST', u'color': u'B3C0DF', u'id': 351, u'name': u'Bed nuclei of the stria terminalis'}, {u'abbreviation': u'MEPO', u'color': u'FF5547', u'id': 452, u'name': u'Median preoptic nucleus'}, {u'abbreviation': u'MPO', u'color': u'FF5547', u'id': 523, u'name': u'Medial preoptic area'}, {u'abbreviation': u'MS', u'color': u'96A7D3', u'id': 564, u'name': u'Medial septal nucleus'}, {u'abbreviation': u'NDB', u'color': u'96A7D3', u'id': 596, u'name': u'Diagonal band nucleus'}, {u'abbreviation': u'PS', u'color': u'FF5547', u'id': 1109, u'name': u'Parastrial nucleus'}]",5,C57BL/6J,NDB,96A7D3,596,Diagonal band nucleus,
M,180916954,"[4800, 1220, 5930]","[{u'abbreviation': u'ACAd', u'color': u'40A666', u'id': 39, u'name': u'Anterior cingulate area, dorsal part'}, {u'abbreviation': u'MOp', u'color': u'1F9D5A', u'id': 985, u'name': u'Primary motor area'}, {u'abbreviation': u'MOs', u'color': u'1F9D5A', u'id': 993, u'name': u'Secondary motor area'}]",5,C57BL/6J,MOs,1F9D5A,993,Secondary motor area,
M,100141780,"[4070, 2600, 7500]","[{u'abbreviation': u'MOp', u'color': u'1F9D5A', u'id': 985, u'name': u'Primary motor area'}]",5,C57BL/6J,MOp,1F9D5A,985,Primary motor area,
M,158258062,"[7170, 6520, 5750]","[{u'abbreviation': u'AHN', u'color': u'FF4C3E', u'id': 88, u'name': u'Anterior hypothalamic nucleus'}, {u'abbreviation': u'PVi', u'color': u'FF5D50', u'id': 118, u'name': u'Periventricular hypothalamic nucleus, intermediate part'}, {u'abbreviation': u'PVp', u'color': u'FF5547', u'id': 126, u'name': u'Periventricular hypothalamic nucleus, posterior part'}, {u'abbreviation': u'LHA', u'color': u'F2483B', u'id': 194, u'name': u'Lateral hypothalamic area'}, {u'abbreviation': u'ARH', u'color': u'FF5D50', u'id': 223, u'name': u'Arcuate hypothalamic nucleus'}, {u'abbreviation': u'TU', u'color': u'F2483B', u'id': 614, u'name': u'Tuberal nucleus'}, {u'abbreviation': u'VMH', u'color': u'FF4C3E', u'id': 693, u'name': u'Ventromedial hypothalamic nucleus'}, {u'abbreviation': u'DMH', u'color': u'FF5547', u'id': 830, u'name': u'Dorsomedial nucleus of the hypothalamus'}, {u'abbreviation': u'PH', u'color': u'FF4C3E', u'id': 946, u'name': u'Posterior hypothalamic nucleus'}, {u'abbreviation': u'PMd', u'color': u'FF4C3E', u'id': 980, u'name': u'Dorsal premammillary nucleus'}, {u'abbreviation': u'PMv', u'color': u'FF4C3E', u'id': 1004, u'name': u'Ventral premammillary nucleus'}]",5,C57BL/6J,LHA,F2483B,194,Lateral hypothalamic area,
M,166082128,"[3420, 2870, 7290]","[{u'abbreviation': u'MOp', u'color': u'1F9D5A', u'id': 985, u'name': u'Primary motor area'}, {u'abbreviation': u'MOs', u'color': u'1F9D5A', u'id': 993, u'name': u'Secondary motor area'}]",5,,MOs,1F9D5A,993,Secondary motor area,Rbp4-Cre_KL100
M,166153483,"[3620, 4530, 7710]","[{u'abbreviation': u'AId', u'color': u'219866', u'id': 104, u'name': u'Agranular insular area, dorsal part'}, {u'abbreviation': u'AIv', u'color': u'219866', u'id': 119, u'name': u'Agranular insular area, ventral part'}, {u'abbreviation': u'MOp', u'color': u'1F9D5A', u'id': 985, u'name': u'Primary motor area'}]",5,,AIv,219866,119,"Agranular insular area, ventral part",Rbp4-Cre_KL100
M,158314987,"[7950, 5670, 5280]","[{u'abbreviation': u'LHA', u'color': u'F2483B', u'id': 194, u'name': u'Lateral hypothalamic area'}, {u'abbreviation': u'LM', u'color': u'FF4C3E', u'id': 210, u'name': u'Lateral mammillary nucleus'}, {u'abbreviation': u'SNc', u'color': u'FFA6FF', u'id': 374, u'name': u'Substantia nigra, compact part'}, {u'abbreviation': u'MM', u'color': u'FF4C3E', u'id': 491, u'name': u'Medial mammillary nucleus'}, {u'abbreviation': u'SUM', u'color': u'FF4C3E', u'id': 525, u'name': u'Supramammillary nucleus'}, {u'abbreviation': u'VTA', u'color': u'FF90FF', u'id': 749, u'name': u'Ventral tegmental area'}, {u'abbreviation': u'PH', u'color': u'FF4C3E', u'id': 946, u'name': u'Posterior hypothalamic nucleus'}, {u'abbreviation': u'PMd', u'color': u'FF4C3E', u'id': 980, u'name': u'Dorsal premammillary nucleus'}]",5,C57BL/6J,MM,FF4C3E,491,Medial mammillary nucleus,
F,267959197,"[7640, 3420, 5890]","[{u'abbreviation': u'MRN', u'color': u'FF90FF', u'id': 128, u'name': u'Midbrain reticular nucleus'}, {u'abbreviation': u'APN', u'color': u'FF90FF', u'id': 215, u'name': u'Anterior pretectal nucleus'}, {u'abbreviation': u'LP', u'color': u'FF909F', u'id': 218, u'name': u'Lateral posterior nucleus of the thalamus'}, {u'abbreviation': u'SCm', u'color': u'FF90FF', u'id': 294, u'name': u'Superior colliculus, motor related'}, {u'abbreviation': u'MD', u'color': u'FF909F', u'id': 362, u'name': u'Mediodorsal nucleus of thalamus'}, {u'abbreviation': u'MPT', u'color': u'FF90FF', u'id': 531, u'name': u'Medial pretectal area'}, {u'abbreviation': u'CL', u'color': u'FF909F', u'id': 575, u'name': u'Central lateral nucleus of the thalamus'}, {u'abbreviation': u'NPC', u'color': u'FF90FF', u'id': 634, u'name': u'Nucleus of the posterior commissure'}, {u'abbreviation': u'OP', u'color': u'FF90FF', u'id': 706, u'name': u'Olivary pretectal nucleus'}, {u'abbreviation': u'PAG', u'color': u'FF90FF', u'id': 795, u'name': u'Periaqueductal gray'}, {u'abbreviation': u'PF', u'color': u'FF909F', u'id': 930, u'name': u'Parafascicular nucleus'}, {u'abbreviation': u'PPT', u'color': u'FF90FF', u'id': 1061, u'name': u'Posterior pretectal nucleus'}]",5,,NPC,FF90FF,634,Nucleus of the posterior commissure,Vipr2-Cre_KE2
M,180720175,"[5710, 670, 6420]","[{u'abbreviation': u'SSp-ll', u'color': u'188064', u'id': 337, u'name': u'Primary somatosensory area, lower limb'}, {u'abbreviation': u'SSp-tr', u'color': u'188064', u'id': 361, u'name': u'Primary somatosensory area, trunk'}, {u'abbreviation': u'RSPagl', u'color': u'1AA698', u'id': 894, u'name': u'Retrosplenial area, lateral agranular part'}, {u'abbreviation': u'MOp', u'color': u'1F9D5A', u'id': 985, u'name': u'Primary motor area'}, {u'abbreviation': u'MOs', u'color': u'1F9D5A', u'id': 993, u'name': u'Secondary motor area'}]",5,C57BL/6J,MOp,1F9D5A,985,Primary motor area,
M,478376197,"[3220, 3090, 4980]","[{u'abbreviation': u'ACAd', u'color': u'40A666', u'id': 39, u'name': u'Anterior cingulate area, dorsal part'}, {u'abbreviation': u'ILA', u'color': u'59B363', u'id': 44, u'name': u'Infralimbic area'}, {u'abbreviation': u'ORBm', u'color': u'248A5E', u'id': 731, u'name': u'Orbital area, medial part'}, {u'abbreviation': u'ORBvl', u'color': u'248A5E', u'id': 746, u'name': u'Orbital area, ventrolateral part'}, {u'abbreviation': u'PL', u'color': u'2FA850', u'id': 972, u'name': u'Prelimbic area'}]",36,B6.129,PL,2FA850,972,Prelimbic area,Emx1-IRES-Cre
M,113144533,"[7200, 5760, 8560]","[{u'abbreviation': u'BLA', u'color': u'9DE79C', u'id': 295, u'name': u'Basolateral amygdalar nucleus'}, {u'abbreviation': u'CEA', u'color': u'80C0E2', u'id': 536, u'name': u'Central amygdalar nucleus'}, {u'abbreviation': u'CP', u'color': u'98D6F9', u'id': 672, u'name': u'Caudoputamen'}, {u'abbreviation': u'IA', u'color': u'80C0E2', u'id': 1105, u'name': u'Intercalated amygdalar nucleus'}]",5,C57BL/6J,BLA,9DE79C,295,Basolateral amygdalar nucleus,
F,114155190,"[9560, 3800, 5460]","[{u'abbreviation': u'IV', u'color': u'FF90FF', u'id': 115, u'name': u'Trochlear nucleus'}, {u'abbreviation': u'PAG', u'color': u'FF90FF', u'id': 795, u'name': u'Periaqueductal gray'}, {u'abbreviation': u'DR', u'color': u'FFA6FF', u'id': 872, u'name': u'Dorsal nucleus raphe'}]",5,C57BL/6J,DR,FFA6FF,872,Dorsal nucleus raphe,Slc6a4-CreERT2_EZ13
M,180717881,"[4580, 3610, 8670]","[{u'abbreviation': u'SSp-m', u'color': u'188064', u'id': 345, u'name': u'Primary somatosensory area, mouth'}, {u'abbreviation': u'SSs', u'color': u'188064', u'id': 378, u'name': u'Supplemental somatosensory area'}, {u'abbreviation': u'GU', u'color': u'009C75', u'id': 1057, u'name': u'Gustatory areas'}]",5,C57BL/6J,SSp-m,188064,345,"Primary somatosensory area, mouth",
M,165975096,"[8400, 5200, 5200]","[{u'abbreviation': u'IF', u'color': u'FFA6FF', u'id': 12, u'name': u'Interfascicular nucleus raphe'}, {u'abbreviation': u'IPN', u'color': u'FFA6FF', u'id': 100, u'name': u'Interpeduncular nucleus'}, {u'abbreviation': u'MRN', u'color': u'FF90FF', u'id': 128, u'name': u'Midbrain reticular nucleus'}, {u'abbreviation': u'RL', u'color': u'FFA6FF', u'id': 197, u'name': u'Rostral linear nucleus raphe'}, {u'abbreviation': u'SNc', u'color': u'FFA6FF', u'id': 374, u'name': u'Substantia nigra, compact part'}, {u'abbreviation': u'CLI', u'color': u'FFA6FF', u'id': 591, u'name': u'Central linear nucleus raphe'}, {u'abbreviation': u'VTA', u'color': u'FF90FF', u'id': 749, u'name': u'Ventral tegmental area'}, {u'abbreviation': u'PAG', u'color': u'FF90FF', u'id': 795, u'name': u'Periaqueductal gray'}, {u'abbreviation': u'PH', u'color': u'FF4C3E', u'id': 946, u'name': u'Posterior hypothalamic nucleus'}, {u'abbreviation': u'EW', u'color': u'FF90FF', u'id': 975, u'name': u'Edinger-Westphal nucleus'}]",5,C57BL/6J,VTA,FF90FF,749,Ventral tegmental area,Erbb4-2A-CreERT2
F,301267162,"[3380, 2870, 7210]","[{u'abbreviation': u'MOs', u'color': u'1F9D5A', u'id': 993, u'name': u'Secondary motor area'}]",5,,MOs,1F9D5A,993,Secondary motor area,Gpr26-Cre_KO250
M,313325371,"[7390, 6520, 5740]","[{u'abbreviation': u'TMv', u'color': u'FF4C3E', u'id': 1, u'name': u'Tuberomammillary nucleus, ventral part'}, {u'abbreviation': u'PVp', u'color': u'FF5547', u'id': 126, u'name': u'Periventricular hypothalamic nucleus, posterior part'}, {u'abbreviation': u'LHA', u'color': u'F2483B', u'id': 194, u'name': u'Lateral hypothalamic area'}, {u'abbreviation': u'ARH', u'color': u'FF5D50', u'id': 223, u'name': u'Arcuate hypothalamic nucleus'}, {u'abbreviation': u'TU', u'color': u'F2483B', u'id': 614, u'name': u'Tuberal nucleus'}, {u'abbreviation': u'VMH', u'color': u'FF4C3E', u'id': 693, u'name': u'Ventromedial hypothalamic nucleus'}, {u'abbreviation': u'DMH', u'color': u'FF5547', u'id': 830, u'name': u'Dorsomedial nucleus of the hypothalamus'}, {u'abbreviation': u'PH', u'color': u'FF4C3E', u'id': 946, u'name': u'Posterior hypothalamic nucleus'}, {u'abbreviation': u'PMd', u'color': u'FF4C3E', u'id': 980, u'name': u'Dorsal premammillary nucleus'}, {u'abbreviation': u'PMv', u'color': u'FF4C3E', u'id': 1004, u'name': u'Ventral premammillary nucleus'}, {u'abbreviation': u'TMd', u'color': u'FF4C3E', u'id': 1126, u'name': u'Tuberomammillary nucleus, dorsal part'}]",5,C57BL/6J,VMH,FF4C3E,693,Ventromedial hypothalamic nucleus,Rasgrf2-2A-dCre
F,120814821,"[3940, 2350, 6990]","[{u'abbreviation': u'MOp', u'color': u'1F9D5A', u'id': 985, u'name': u'Primary motor area'}, {u'abbreviation': u'MOs', u'color': u'1F9D5A', u'id': 993, u'name': u'Secondary motor area'}]",5,,MOs,1F9D5A,993,Secondary motor area,Rbp4-Cre_KL100
