st_level,graph_id,name,weight,acronym,parent_structure_id,graph_order,sphinx_id,hemisphere_id,safe_name,color_hex_triplet,structure_id_path,failed,depth,neuro_name_structure_id_path,neuro_name_structure_id,structure_name_facet,failed_facet,id,ontology_id,atlas_id
,1,root,8690,root,,0,1,3,root,FFFFFF,/997/,FALSE,0,,,385153371,734881840,997,1,-1
,1,Basic cell groups and regions,8690,grey,997,1,2,3,Basic cell groups and regions,BFDAE3,/997/8/,FALSE,1,,,2244697386,734881840,8,1,0
,1,Cerebrum,8690,CH,8,2,3,3,Cerebrum,B0F0FF,/997/8/567/,FALSE,2,,,2878815794,734881840,567,1,70
,1,Cerebral cortex,8690,CTX,567,3,4,3,Cerebral cortex,B0FFB8,/997/8/567/688/,FALSE,3,,,3591311804,734881840,688,1,85
,1,Cortical plate,8690,CTXpl,688,4,5,3,Cortical plate,70FF70,/997/8/567/688/695/,FALSE,4,,,3945900931,734881840,695,1,86
,1,Isocortex,8690,Isocortex,695,5,6,3,Isocortex,70FF71,/997/8/567/688/695/315/,FALSE,5,,,2323732626,734881840,315,1,746
,1,"Frontal pole, cerebral cortex",8690,FRP,315,6,7,3,Frontal pole cerebral cortex,268F45,/997/8/567/688/695/315/184/,FALSE,6,,,2565719060,734881840,184,1,871
,1,"Frontal pole, layer 1",8690,FRP1,184,7,8,3,Frontal pole layer 1,268F45,/997/8/567/688/695/315/184/68/,FALSE,7,,,1397862467,734881840,68,1,998
,1,"Frontal pole, layer 2/3",8690,FRP2/3,184,8,9,3,Frontal pole layer 2/3,268F45,/997/8/567/688/695/315/184/667/,FALSE,7,,,4268100038,734881840,667,1,1073
,1,"Frontal pole, layer 5",8690,FRP5,184,9,10,3,Frontal pole layer 5,268F45,/997/8/567/688/695/315/184/526157192/,FALSE,7,,,1413248090,734881840,526157192,1,
,1,"Frontal pole, layer 6a",8690,FRP6a,184,10,11,3,Frontal pole layer 6a,268F45,/997/8/567/688/695/315/184/526157196/,FALSE,7,,,1215326494,734881840,526157196,1,
,1,"Frontal pole, layer 6b",8690,FRP6b,184,11,12,3,Frontal pole layer 6b,268F45,/997/8/567/688/695/315/184/526322264/,FALSE,7,,,3514382500,734881840,526322264,1,
,1,Somatomotor areas,8690,MO,315,12,13,3,Somatomotor areas,1F9D5A,/997/8/567/688/695/315/500/,FALSE,6,,,356591023,734881840,500,1,203
,1,"Somatomotor areas, Layer 1",8690,MO1,500,13,14,3,Somatomotor areas Layer 1,1F9D5A,/997/8/567/688/695/315/500/107/,FALSE,7,,,900612548,734881840,107,1,1003
,1,"Somatomotor areas, Layer 2/3",8690,MO2/3,500,14,15,3,Somatomotor areas Layer 2/3,1F9D5A,/997/8/567/688/695/315/500/219/,FALSE,7,,,1075749695,734881840,219,1,1017
,1,"Somatomotor areas, Layer 5",8690,MO5,500,15,16,3,Somatomotor areas Layer 5,1F9D5A,/997/8/567/688/695/315/500/299/,FALSE,7,,,851674589,734881840,299,1,1027
,1,"Somatomotor areas, Layer 6a",8690,MO6a,500,16,17,3,Somatomotor areas Layer 6a,1F9D5A,/997/8/567/688/695/315/500/644/,FALSE,7,,,1003126892,734881840,644,1,787
,1,"Somatomotor areas, Layer 6b",8690,MO6b,500,17,18,3,Somatomotor areas Layer 6b,1F9D5A,/997/8/567/688/695/315/500/947/,FALSE,7,,,2730742230,734881840,947,1,825
,1,Primary motor area,8690,MOp,500,18,19,3,Primary motor area,1F9D5A,/997/8/567/688/695/315/500/985/,FALSE,7,,,1852742012,734881840,985,1,830
,1,"Primary motor area, Layer 1",8690,MOp1,985,19,20,3,Primary motor area Layer 1,1F9D5A,/997/8/567/688/695/315/500/985/320/,FALSE,8,,,571569106,734881840,320,1,888
,1,"Primary motor area, Layer 2/3",8690,MOp2/3,985,20,21,3,Primary motor area Layer 2/3,1F9D5A,/997/8/567/688/695/315/500/985/943/,FALSE,8,,,2488357079,734881840,943,1,966
,1,"Primary motor area, Layer 5",8690,MOp5,985,21,22,3,Primary motor area Layer 5,1F9D5A,/997/8/567/688/695/315/500/985/648/,FALSE,8,,,628930507,734881840,648,1,929
,1,"Primary motor area, Layer 6a",8690,MOp6a,985,22,23,3,Primary motor area Layer 6a,1F9D5A,/997/8/567/688/695/315/500/985/844/,FALSE,8,,,3473508879,734881840,844,1,1095
,1,"Primary motor area, Layer 6b",8690,MOp6b,985,23,24,3,Primary motor area Layer 6b,1F9D5A,/997/8/567/688/695/315/500/985/882/,FALSE,8,,,1442896821,734881840,882,1,1100
,1,Secondary motor area,8690,MOs,500,24,25,3,Secondary motor area,1F9D5A,/997/8/567/688/695/315/500/993/,FALSE,7,,,1043755260,734881840,993,1,831
,1,"Secondary motor area, layer 1",8690,MOs1,993,25,26,3,Secondary motor area layer 1,1F9D5A,/997/8/567/688/695/315/500/993/656/,FALSE,8,,,4032915713,734881840,656,1,930
,1,"Secondary motor area, layer 2/3",8690,MOs2/3,993,26,27,3,Secondary motor area layer 2/3,1F9D5A,/997/8/567/688/695/315/500/993/962/,FALSE,8,,,3274108161,734881840,962,1,1110
,1,"Secondary motor area, layer 5",8690,MOs5,993,27,28,3,Secondary motor area layer 5,1F9D5A,/997/8/567/688/695/315/500/993/767/,FALSE,8,,,4144803096,734881840,767,1,944
,1,"Secondary motor area, layer 6a",8690,MOs6a,993,28,29,3,Secondary motor area layer 6a,1F9D5A,/997/8/567/688/695/315/500/993/1021/,FALSE,8,,,3489757563,734881840,1021,1,1117
,1,"Secondary motor area, layer 6b",8690,MOs6b,993,29,30,3,Secondary motor area layer 6b,1F9D5A,/997/8/567/688/695/315/500/993/1085/,FALSE,8,,,1225271489,734881840,1085,1,1125
,1,Somatosensory areas,8690,SS,315,30,31,3,Somatosensory areas,188064,/997/8/567/688/695/315/453/,FALSE,6,,,3016301862,734881840,453,1,339
,1,"Somatosensory areas, layer 1",8690,SS1,453,31,32,3,Somatosensory areas layer 1,188064,/997/8/567/688/695/315/453/12993/,FALSE,7,,,544207135,734881840,12993,1,
,1,"Somatosensory areas, layer 2/3",8690,SS2/3,453,32,33,3,Somatosensory areas layer 2/3,188064,/997/8/567/688/695/315/453/12994/,FALSE,7,,,3920828838,734881840,12994,1,
,1,"Somatosensory areas, layer 4",8690,SS4,453,33,34,3,Somatosensory areas layer 4,188064,/997/8/567/688/695/315/453/12995/,FALSE,7,,,1342506384,734881840,12995,1,
,1,"Somatosensory areas, layer 5",8690,SS5,453,34,35,3,Somatosensory areas layer 5,188064,/997/8/567/688/695/315/453/12996/,FALSE,7,,,654456070,734881840,12996,1,
,1,"Somatosensory areas, layer 6a",8690,SS6a,453,35,36,3,Somatosensory areas layer 6a,188064,/997/8/567/688/695/315/453/12997/,FALSE,7,,,719211136,734881840,12997,1,
,1,"Somatosensory areas, layer 6b",8690,SS6b,453,36,37,3,Somatosensory areas layer 6b,188064,/997/8/567/688/695/315/453/12998/,FALSE,7,,,3017218874,734881840,12998,1,
,1,Primary somatosensory area,8690,SSp,453,37,38,3,Primary somatosensory area,188064,/997/8/567/688/695/315/453/322/,FALSE,7,,,131561364,734881840,322,1,747
,1,"Primary somatosensory area, layer 1",8690,SSp1,322,38,39,3,Primary somatosensory area layer 1,188064,/997/8/567/688/695/315/453/322/793/,FALSE,8,,,1205993041,734881840,793,1,1089
,1,"Primary somatosensory area, layer 2/3",8690,SSp2/3,322,39,40,3,Primary somatosensory area layer 2/3,188064,/997/8/567/688/695/315/453/322/346/,FALSE,8,,,401998130,734881840,346,1,1033
,1,"Primary somatosensory area, layer 4",8690,SSp4,322,40,41,3,Primary somatosensory area layer 4,188064,/997/8/567/688/695/315/453/322/865/,FALSE,8,,,931859166,734881840,865,1,1098
,1,"Primary somatosensory area, layer 5",8690,SSp5,322,41,42,3,Primary somatosensory area layer 5,188064,/997/8/567/688/695/315/453/322/921/,FALSE,8,,,1082931784,734881840,921,1,1105
,1,"Primary somatosensory area, layer 6a",8690,SSp6a,322,42,43,3,Primary somatosensory area layer 6a,188064,/997/8/567/688/695/315/453/322/686/,FALSE,8,,,3151865880,734881840,686,1,934
,1,"Primary somatosensory area, layer 6b",8690,SSp6b,322,43,44,3,Primary somatosensory area layer 6b,188064,/997/8/567/688/695/315/453/322/719/,FALSE,8,,,584382882,734881840,719,1,938
,1,"Primary somatosensory area, nose",8690,SSp-n,322,44,45,3,Primary somatosensory area nose,188064,/997/8/567/688/695/315/453/322/353/,FALSE,8,,,3014838097,734881840,353,1,751
,1,"Primary somatosensory area, nose, layer 1",8690,SSp-n1,353,45,46,3,Primary somatosensory area nose layer 1,188064,/997/8/567/688/695/315/453/322/353/558/,FALSE,9,,,3903637663,734881840,558,1,635
,1,"Primary somatosensory area, nose, layer 2/3",8690,SSp-n2/3,353,46,47,3,Primary somatosensory area nose layer 2/3,188064,/997/8/567/688/695/315/453/322/353/838/,FALSE,9,,,2369110310,734881840,838,1,953
,1,"Primary somatosensory area, nose, layer 4",8690,SSp-n4,353,47,48,3,Primary somatosensory area nose layer 4,188064,/997/8/567/688/695/315/453/322/353/654/,FALSE,9,,,2563128336,734881840,654,1,647
,1,"Primary somatosensory area, nose, layer 5",8690,SSp-n5,353,48,49,3,Primary somatosensory area nose layer 5,188064,/997/8/567/688/695/315/453/322/353/702/,FALSE,9,,,4022406278,734881840,702,1,653
,1,"Primary somatosensory area, nose, layer 6a",8690,SSp-n6a,353,49,50,3,Primary somatosensory area nose layer 6a,188064,/997/8/567/688/695/315/453/322/353/889/,FALSE,9,,,3350071961,734881840,889,1,1101
,1,"Primary somatosensory area, nose, layer 6b",8690,SSp-n6b,353,50,51,3,Primary somatosensory area nose layer 6b,188064,/997/8/567/688/695/315/453/322/353/929/,FALSE,9,,,1588026147,734881840,929,1,1106
,1,"Primary somatosensory area, barrel field",8690,SSp-bfd,322,51,52,3,Primary somatosensory area barrel field,188064,/997/8/567/688/695/315/453/322/329/,FALSE,8,,,3406319794,734881840,329,1,748
,1,"Primary somatosensory area, barrel field, layer 1",8690,SSp-bfd1,329,52,53,3,Primary somatosensory area barrel field layer 1,188064,/997/8/567/688/695/315/453/322/329/981/,FALSE,9,,,3178183090,734881840,981,1,971
,1,"Primary somatosensory area, barrel field, layer 2/3",8690,SSp-bfd2/3,329,53,54,3,Primary somatosensory area barrel field layer 2/3,188064,/997/8/567/688/695/315/453/322/329/201/,FALSE,9,,,1738869888,734881840,201,1,1015
,1,"Primary somatosensory area, barrel field, layer 4",8690,SSp-bfd4,329,54,55,3,Primary somatosensory area barrel field layer 4,188064,/997/8/567/688/695/315/453/322/329/1047/,FALSE,9,,,3439709501,734881840,1047,1,979
,1,"Primary somatosensory area, barrel field, layer 5",8690,SSp-bfd5,329,55,56,3,Primary somatosensory area barrel field layer 5,188064,/997/8/567/688/695/315/453/322/329/1070/,FALSE,9,,,3120758187,734881840,1070,1,982
,1,"Primary somatosensory area, barrel field, layer 6a",8690,SSp-bfd6a,329,56,57,3,Primary somatosensory area barrel field layer 6a,188064,/997/8/567/688/695/315/453/322/329/1038/,FALSE,9,,,2183435549,734881840,1038,1,978
,1,"Primary somatosensory area, barrel field, layer 6b",8690,SSp-bfd6b,329,57,58,3,Primary somatosensory area barrel field layer 6b,188064,/997/8/567/688/695/315/453/322/329/1062/,FALSE,9,,,455984295,734881840,1062,1,981
,1,Rostrolateral lateral visual area,8690,VISrll,329,58,59,3,Rostrolateral lateral visual area,188064,/997/8/567/688/695/315/453/322/329/480149202/,FALSE,9,,,3664552515,734881840,480149202,1,
,1,"Rostrolateral lateral visual area, layer 1",8690,VISrll1,480149202,59,60,3,Rostrolateral lateral visual area layer 1,188064,/997/8/567/688/695/315/453/322/329/480149202/480149206/,FALSE,10,,,3014325736,734881840,480149206,1,
,1,"Rostrolateral lateral visual area, layer 2/3",8690,VISrll2/3,480149202,60,61,3,Rostrolateral lateral visual area layer 2/3,188064,/997/8/567/688/695/315/453/322/329/480149202/480149210/,FALSE,10,,,3038984448,734881840,480149210,1,
,1,"Rostrolateral lateral visual area, layer 4",8690,VISrll4,480149202,61,62,3,Rostrolateral lateral visual area layer 4,188064,/997/8/567/688/695/315/453/322/329/480149202/480149214/,FALSE,10,,,3284140391,734881840,480149214,1,
,1,"Rostrolateral lateral visual area,layer 5",8690,VISrll5,480149202,62,63,3,Rostrolateral lateral visual arealayer 5,188064,/997/8/567/688/695/315/453/322/329/480149202/480149218/,FALSE,10,,,1253499024,734881840,480149218,1,
,1,"Rostrolateral lateral visual area, layer 6a",8690,VISrll6a,480149202,63,64,3,Rostrolateral lateral visual area layer 6a,188064,/997/8/567/688/695/315/453/322/329/480149202/480149222/,FALSE,10,,,160753723,734881840,480149222,1,
,1,"Rostrolateral lateral visual area, layer 6b",8690,VISrll6b,480149202,64,65,3,Rostrolateral lateral visual area layer 6b,188064,/997/8/567/688/695/315/453/322/329/480149202/480149226/,FALSE,10,,,2426255745,734881840,480149226,1,
,1,"Primary somatosensory area, lower limb",8690,SSp-ll,322,65,66,3,Primary somatosensory area lower limb,188064,/997/8/567/688/695/315/453/322/337/,FALSE,8,,,533428449,734881840,337,1,749
,1,"Primary somatosensory area, lower limb, layer 1",8690,SSp-ll1,337,66,67,3,Primary somatosensory area lower limb layer 1,188064,/997/8/567/688/695/315/453/322/337/1030/,FALSE,9,,,1906118639,734881840,1030,1,977
,1,"Primary somatosensory area, lower limb, layer 2/3",8690,SSp-ll2/3,337,67,68,3,Primary somatosensory area lower limb layer 2/3,188064,/997/8/567/688/695/315/453/322/337/113/,FALSE,9,,,2802480882,734881840,113,1,1004
,1,"Primary somatosensory area, lower limb, layer 4",8690,SSp-ll4,337,68,69,3,Primary somatosensory area lower limb layer 4,188064,/997/8/567/688/695/315/453/322/337/1094/,FALSE,9,,,33028960,734881840,1094,1,985
,1,"Primary somatosensory area, lower limb, layer 5",8690,SSp-ll5,337,69,70,3,Primary somatosensory area lower limb layer 5,188064,/997/8/567/688/695/315/453/322/337/1128/,FALSE,9,,,1995492342,734881840,1128,1,989
,1,"Primary somatosensory area, lower limb, layer 6a",8690,SSp-ll6a,337,70,71,3,Primary somatosensory area lower limb layer 6a,188064,/997/8/567/688/695/315/453/322/337/478/,FALSE,9,,,2536655458,734881840,478,1,625
,1,"Primary somatosensory area, lower limb, layer 6b",8690,SSp-ll6b,337,71,72,3,Primary somatosensory area lower limb layer 6b,188064,/997/8/567/688/695/315/453/322/337/510/,FALSE,9,,,238754776,734881840,510,1,629
,1,"Primary somatosensory area, mouth",8690,SSp-m,322,72,73,3,Primary somatosensory area mouth,188064,/997/8/567/688/695/315/453/322/345/,FALSE,8,,,2638278704,734881840,345,1,750
,1,"Primary somatosensory area, mouth, layer 1",8690,SSp-m1,345,73,74,3,Primary somatosensory area mouth layer 1,188064,/997/8/567/688/695/315/453/322/345/878/,FALSE,9,,,3213023761,734881840,878,1,958
